,Title,Summary,DOI,Categories,Publish Time,Authors
29,E-Voting with Blockchain: An E-Voting Protocol with Decentralisation and Voter Privacy,"Technology has positive impacts on many aspects of our social life. Designing
a 24hour globally connected architecture enables ease of access to a variety of
resources and services. Furthermore, technology like Internet has been a
fertile ground for innovation and creativity. One of such disruptive innovation
is blockchain -- a keystone of cryptocurrencies. The blockchain technology is
presented as a game changer for many of the existing and emerging
technologies/services. With its immutability property and decentralised
architecture, it is taking centre stage in many services as an equalisation
factor to the current parity between consumers and large
corporations/governments. One of such potential applications of the blockchain
is in e-voting schemes. The objective of such a scheme would be to provide a
decentralised architecture to run and support a voting scheme that is open,
fair and independently verifiable. In this paper, we propose potentially a new
e-voting protocol that utilises the blockchain as a transparent ballot box. The
protocol has been designed with adhering to the fundamental e-voting properties
in mind as well as offering a degree of decentralisation and allowing for the
voter to change/update their vote (within the permissible voting period). The
paper highlights the pros and cons of using blockchain for such a proposal from
practical point view in both development/deployment and usage contexts.
Concluding the paper with a potential roadmap for blockchain technology to be
able to support complex applications.",1805.10258v2,"['cs.CR', 'cs.CY']",2018-05-25 17:18:25+00:00,"[arxiv.Result.Author('Freya Sheer Hardwick'), arxiv.Result.Author('Apostolos Gioulis'), arxiv.Result.Author('Raja Naeem Akram'), arxiv.Result.Author('Konstantinos Markantonakis')]"
30,"More style, less work: card-style data decrease risk-limiting audit sample sizes","U.S. elections rely heavily on computers such as voter registration
databases, electronic pollbooks, voting machines, scanners, tabulators, and
results reporting websites. These introduce digital threats to election
outcomes. Risk-limiting audits (RLAs) mitigate threats to some of these systems
by manually inspecting random samples of ballot cards. RLAs have a large chance
of correcting wrong outcomes (by conducting a full manual tabulation of a
trustworthy record of the votes), but can save labor when reported outcomes are
correct. This efficiency is eroded when sampling cannot be targeted to ballot
cards that contain the contest(s) under audit. If the sample is drawn from all
cast cards, RLA sample sizes scale like the reciprocal of the fraction of
ballot cards that contain the contest(s) under audit. That fraction shrinks as
the number of cards per ballot grows (i.e., when elections contain more
contests) and as the fraction of ballots that contain the contest decreases
(i.e., when a smaller percentage of voters are eligible to vote in the
contest). States that conduct RLAs of contests on multi-card ballots or of
small contests can dramatically reduce sample sizes by using information about
which ballot cards contain which contests -- by keeping track of card-style
data (CSD). For instance, CSD reduces the expected number of draws needed to
audit a single countywide contest on a 4-card ballot by 75%. Similarly, CSD
reduces the expected number of draws by 95% or more for an audit of two
contests with the same margin on a 4-card ballot if one contest is on every
ballot and the other is on 10% of ballots. In realistic examples, the savings
can be several orders of magnitude.",2012.03371v1,"['cs.CR', 'stat.ME']",2020-12-06 20:35:12+00:00,"[arxiv.Result.Author('Amanda K. Glazer'), arxiv.Result.Author('Jacob V. Spertus'), arxiv.Result.Author('Philip B. Stark')]"
31,Blind proxy voting,"A secret ballot mechanism that enables voting in absence is proposed. It
amends standard vote collection methods that use ballot box as anonymizer,
adding the option for absent voters to vote by a proxy blinded to the content
of the ballot paper. Votes are cast under unique and hidden identification
numbers generated solely for the purpose of that election. Voters prepare their
ballot papers from scratch and submit them to the tallying authority in two
parts via separate routes, each part being meaningless without the other.",1812.11128v1,['cs.CR'],2018-12-28 17:41:13+00:00,[arxiv.Result.Author('Zuzana Haniková')]
32,Non(c)esuch Ballot-Level Risk-Limiting Audits for Precinct-Count Voting Systems,"Risk-limiting audits (RLAs) guarantee a high probability of correcting
incorrect reported outcomes before the outcomes are certified. The most
efficient use ballot-level comparison, comparing the voting system's
interpretation of individual ballot cards sampled at random (cast-vote records,
CVRs) from a trustworthy paper trail to a human interpretation of the same
cards. Such comparisons require the voting system to create and export CVRs in
a way that can be linked to the individual ballots the CVRs purport to
represent. Such links can be created by keeping the ballots in the order in
which they are scanned or by printing a unique serial number on each ballot.
But for precinct-count systems (PCOS), these strategies may compromise vote
anonymity: the order in which ballots are cast may identify the voters who cast
them. Printing a unique pseudo-random number (""cryptographic nonce"") on each
ballot card after the voter last touches it could reduce such privacy risks.
But what if the system does not in fact print a unique number on each ballot or
does not accurately report the numbers it printed? This paper gives two ways to
conduct an RLA so that even if the system does not print a genuine nonce on
each ballot or misreports the nonces it used, the audit's risk limit is not
compromised (however, the anonymity of votes might be compromised). One method
allows untrusted technology to be used to imprint and to retrieve ballot cards.
The method is adaptive: if the technology behaves properly, this protection
does not increase the audit workload. But if the imprinting or retrieval system
misbehaves, the sample size the RLA requires to confirm the reported results
when the results are correct is generally larger than if the imprinting and
retrieval were accurate.",2207.01362v1,"['cs.CR', 'stat.AP']",2022-07-04 12:35:42+00:00,[arxiv.Result.Author('Philip B. Stark')]
33,Can Voters Detect Errors on Their Printed Ballots? Absolutely,"There is still debate on whether voters can detect malicious changes in their
printed ballot after making their selections on a Ballot Marking Device (BMD).
In this study, we altered votes on a voter's ballot after they had made their
selections on a BMD. We then required them to examine their ballots for any
changes from the slate they used to vote. Overall accuracy was exceptionally
high. Participants saw 1440 total contests, and of those 1440, there were a
total of 4 errors, so total accuracy was 99.8%. Participants were able to
perform with near-perfect accuracy regardless of ballot length, ballot type,
number of altered races, and location of altered races. Detection performance
was extremely robust. We conclude that with proper direction and resources,
voters can be near-perfect detectors of ballot changes on printed paper ballots
after voting with a BMD. This finding has significant implications for the
voting community as BMD use continues to grow. Research should now focus on
identifying administrative and behavioral methods that will prompt and
encourage voters to check their BMD-generated ballots before they drop them in
the ballot box.",2204.09780v1,"['cs.HC', 'cs.CR', 'H.1.2; J.4']",2022-04-20 20:40:32+00:00,"[arxiv.Result.Author('Philip Kortum'), arxiv.Result.Author('Michael D. Byrne'), arxiv.Result.Author('Chidera O. Azubike'), arxiv.Result.Author('Laura E. Roty')]"
34,"Voter Verification of BMD Ballots Is a Two-Part Question: Can They? Mostly, They Can. Do They? Mostly, They Don't","The question of whether or not voters actually verify ballots produced by
ballot marking devices (BMDs) is presently the subject of some controversy.
Recent studies (e.g., Bernhard, et al. 2020) suggest the verification rate is
low. What is not clear from previous research is whether this is more a result
of voters being unable to do so accurately or whether this is because voters
simply choose not to attempt verification in the first place. In order to
understand this problem, we conducted an experiment in which 108 participants
participated in a mock election where the BMD displayed the voters' true
choices, but then changed a subset of those choices on the printed ballot. The
design of the printed ballot, the length of the ballot, the number of changes
that were made to the ballot, the location of those changes, and the
instructions provided to the voters were manipulated as part of the experiment.
Results indicated that of those voters who chose to examine the printed ballot,
76% detected anomalies, indicating that voters can reliably detect errors on
their ballot if they will simply review it. This suggests that administrative
remedies, rather than attempts to alter fundamental human perceptual
capabilities, could be employed to encourage voters to check their ballots,
which could prove as an effective countermeasure.",2003.04997v1,"['cs.HC', 'cs.CR', 'H.1.2; J.4']",2020-03-10 21:06:42+00:00,"[arxiv.Result.Author('Philip Kortum'), arxiv.Result.Author('Michael D. Byrne'), arxiv.Result.Author('Julie Whitmore')]"
35,Exploiting re-voting in the Helios election system,"Election systems must ensure that representatives are chosen by voters.
Moreover, each voter should have equal influence. Traditionally, this has been
achieved by permitting voters to cast at most one ballot. More recently, this
has been achieved by tallying the last ballot cast by each voter. We show this
is not achieved by the Helios election system, because an adversary can cause a
ballot other than a voter's last to be tallied. Moreover, we show how the
adversary can choose the contents of such a ballot, thus the adversary can
unduly influence the selection of representatives.",1612.04099v3,['cs.CR'],2016-12-13 11:07:22+00:00,"[arxiv.Result.Author('Maxime Meyer'), arxiv.Result.Author('Ben Smyth')]"
36,On the security of ballot marking devices,"A recent debate among election experts has considered whether electronic
ballot marking devices (BMDs) have adequate security against the risks of
malware. A malicious BMD might produce a printed ballot that disagrees with a
voter's actual intent, with the hope that voters would be unlikely to detect
this subterfuge. This essay considers how an election administrator can create
reasonable auditing procedures to gain confidence that their fleet of BMDs is
operating correctly, allowing voters to benefit from the usability and
accessibility features of BMDs while the overall election still benefits from
the same security and reliability properties we expect from hand-marked paper
ballots.",1908.01897v2,['cs.CR'],2019-08-05 23:04:16+00:00,[arxiv.Result.Author('Dan S. Wallach')]
37,Ballot Length in Instant Runoff Voting,"Instant runoff voting (IRV) is an increasingly-popular alternative to
traditional plurality voting in which voters submit rankings over the
candidates rather than single votes. In practice, elections using IRV often
restrict the ballot length, the number of candidates a voter is allowed to rank
on their ballot. We theoretically and empirically analyze how ballot length can
influence the outcome of an election, given fixed voter preferences. We show
that there exist preference profiles over $k$ candidates such that up to $k-1$
different candidates win at different ballot lengths. We derive exact lower
bounds on the number of voters required for such profiles and provide a
construction matching the lower bound for unrestricted voter preferences.
Additionally, we characterize which sequences of winners are possible over
ballot lengths and provide explicit profile constructions achieving any
feasible winner sequence. We also examine how classic preference restrictions
influence our results--for instance, single-peakedness makes $k-1$ different
winners impossible but still allows at least $\Omega(\sqrt k)$. Finally, we
analyze a collection of 168 real-world elections, where we truncate rankings to
simulate shorter ballots. We find that shorter ballots could have changed the
outcome in one quarter of these elections. Our results highlight ballot length
as a consequential degree of freedom in the design of IRV elections.",2207.08958v3,"['cs.MA', 'econ.TH']",2022-07-18 22:01:13+00:00,"[arxiv.Result.Author('Kiran Tomlinson'), arxiv.Result.Author('Johan Ugander'), arxiv.Result.Author('Jon Kleinberg')]"
38,SOBA: Secrecy-preserving Observable Ballot-level Audit,"SOBA is an approach to election verification that provides observers with
justifiably high confidence that the reported results of an election are
consistent with an audit trail (""ballots""), which can be paper or electronic.
SOBA combines three ideas: (1) publishing cast vote records (CVRs) separately
for each contest, so that anyone can verify that each reported contest outcome
is correct, if the CVRs reflect voters' intentions with sufficient accuracy;
(2) shrouding a mapping between ballots and the CVRs for those ballots to
prevent the loss of privacy that could occur otherwise; (3) assessing the
accuracy with which the CVRs reflect voters' intentions for a collection of
contests while simultaneously assessing the integrity of the shrouded mapping
between ballots and CVRs by comparing randomly selected ballots to the CVRs
that purport to represent them. Step (1) is related to work by the Humboldt
County Election Transparency Project, but publishing CVRs separately for
individual contests rather than images of entire ballots preserves privacy.
Step (2) requires a cryptographic commitment from elections officials.
Observers participate in step (3), which relies on the ""super-simple
simultaneous single-ballot risk-limiting audit."" Step (3) is designed to reveal
relatively few ballots if the shrouded mapping is proper and the CVRs
accurately reflect voter intent. But if the reported outcomes of the contests
differ from the outcomes that a full hand count would show, step (3) is
guaranteed to have a large chance of requiring all the ballots to be counted by
hand, thereby limiting the risk that an incorrect outcome will become official
and final.",1105.5803v2,"['stat.AP', 'cs.CR', 'cs.CY']",2011-05-29 17:00:20+00:00,"[arxiv.Result.Author('Josh Benaloh'), arxiv.Result.Author('Douglas Jones'), arxiv.Result.Author('Eric Lazarus'), arxiv.Result.Author('Mark Lindeman'), arxiv.Result.Author('Philip B. Stark')]"
39,Quantum anonymous voting with anonymity check,"We propose a new protocol for quantum anonymous voting having serious
advantages over the existing protocols: it protects both the voters from a
curious tallyman and all the participants from a dishonest voter in
unconditional way. The central idea of the protocol is that the ballots are
given back to the voters after the voting process, which gives a possibility
for two voters to check the anonymity of the vote counting process by preparing
a special entangled state of two ballots. Any attempt of cheating from the side
of the tallyman results in destroying the entanglement, which can be detected
by the voters.",0911.5605v1,['quant-ph'],2009-11-30 10:39:14+00:00,"[arxiv.Result.Author('Dmitri Horoshko'), arxiv.Result.Author('Sergei Kilin')]"
40,Recognizing distributed approval voting forms and correspondences,"Each voter $i \in I$ has $\alpha_i$ cards that (s)he distributes among the
candidates $a \in A$ as a measure of approval. One (or several) candidate(s)
who received the maximum number of cards is (are) elected. We provide
polynomial algorithms to recognize voting forms and voting correspondences
generated by such voting schemes in cases when either the number of candidates
or the number of voters is equal to $2$. We prove that for two voters, if
$\alpha_2 \geq \alpha_1-2\geq 0$ then the unique voting correspondence has
distinct rows. We also characterize voting forms with distinct rows.",2010.15730v1,['math.CO'],2020-10-29 16:28:33+00:00,"[arxiv.Result.Author('Endre Boros'), arxiv.Result.Author('Ondrej Cepek'), arxiv.Result.Author('Vladimir Gurvich'), arxiv.Result.Author('Kazuhisa Makino')]"
41,"More style, less work: card-style data decrease risk-limiting audit sample sizes","U.S. elections rely heavily on computers such as voter registration
databases, electronic pollbooks, voting machines, scanners, tabulators, and
results reporting websites. These introduce digital threats to election
outcomes. Risk-limiting audits (RLAs) mitigate threats to some of these systems
by manually inspecting random samples of ballot cards. RLAs have a large chance
of correcting wrong outcomes (by conducting a full manual tabulation of a
trustworthy record of the votes), but can save labor when reported outcomes are
correct. This efficiency is eroded when sampling cannot be targeted to ballot
cards that contain the contest(s) under audit. If the sample is drawn from all
cast cards, RLA sample sizes scale like the reciprocal of the fraction of
ballot cards that contain the contest(s) under audit. That fraction shrinks as
the number of cards per ballot grows (i.e., when elections contain more
contests) and as the fraction of ballots that contain the contest decreases
(i.e., when a smaller percentage of voters are eligible to vote in the
contest). States that conduct RLAs of contests on multi-card ballots or of
small contests can dramatically reduce sample sizes by using information about
which ballot cards contain which contests -- by keeping track of card-style
data (CSD). For instance, CSD reduces the expected number of draws needed to
audit a single countywide contest on a 4-card ballot by 75%. Similarly, CSD
reduces the expected number of draws by 95% or more for an audit of two
contests with the same margin on a 4-card ballot if one contest is on every
ballot and the other is on 10% of ballots. In realistic examples, the savings
can be several orders of magnitude.",2012.03371v1,"['cs.CR', 'stat.ME']",2020-12-06 20:35:12+00:00,"[arxiv.Result.Author('Amanda K. Glazer'), arxiv.Result.Author('Jacob V. Spertus'), arxiv.Result.Author('Philip B. Stark')]"
42,Blind proxy voting,"A secret ballot mechanism that enables voting in absence is proposed. It
amends standard vote collection methods that use ballot box as anonymizer,
adding the option for absent voters to vote by a proxy blinded to the content
of the ballot paper. Votes are cast under unique and hidden identification
numbers generated solely for the purpose of that election. Voters prepare their
ballot papers from scratch and submit them to the tallying authority in two
parts via separate routes, each part being meaningless without the other.",1812.11128v1,['cs.CR'],2018-12-28 17:41:13+00:00,[arxiv.Result.Author('Zuzana Haniková')]
43,Non(c)esuch Ballot-Level Risk-Limiting Audits for Precinct-Count Voting Systems,"Risk-limiting audits (RLAs) guarantee a high probability of correcting
incorrect reported outcomes before the outcomes are certified. The most
efficient use ballot-level comparison, comparing the voting system's
interpretation of individual ballot cards sampled at random (cast-vote records,
CVRs) from a trustworthy paper trail to a human interpretation of the same
cards. Such comparisons require the voting system to create and export CVRs in
a way that can be linked to the individual ballots the CVRs purport to
represent. Such links can be created by keeping the ballots in the order in
which they are scanned or by printing a unique serial number on each ballot.
But for precinct-count systems (PCOS), these strategies may compromise vote
anonymity: the order in which ballots are cast may identify the voters who cast
them. Printing a unique pseudo-random number (""cryptographic nonce"") on each
ballot card after the voter last touches it could reduce such privacy risks.
But what if the system does not in fact print a unique number on each ballot or
does not accurately report the numbers it printed? This paper gives two ways to
conduct an RLA so that even if the system does not print a genuine nonce on
each ballot or misreports the nonces it used, the audit's risk limit is not
compromised (however, the anonymity of votes might be compromised). One method
allows untrusted technology to be used to imprint and to retrieve ballot cards.
The method is adaptive: if the technology behaves properly, this protection
does not increase the audit workload. But if the imprinting or retrieval system
misbehaves, the sample size the RLA requires to confirm the reported results
when the results are correct is generally larger than if the imprinting and
retrieval were accurate.",2207.01362v1,"['cs.CR', 'stat.AP']",2022-07-04 12:35:42+00:00,[arxiv.Result.Author('Philip B. Stark')]
44,Java Card for PayTv Application,"Smart cards are widely used along with PayTV receivers to store secret user
keys and to perform security functions to prevent any unauthorized viewing of
PayTV channels. Java Card technology enables programs written in the Java
programming language to run on smart cards. Smart cards represent one of the
smallest computing platforms in use today. The memory configuration of a smart
card are of the order of 4K of RAM, 72K of EEPROM, and 24K of ROM. Using Java
card provides advantages to the industry in terms of ease of coding, faster
time to market and faster upgrades as compared to plain smart cards . Also
different applications like payTV, e-commerce, health-card can easily be
implemented in a single java card as multiple applets corresponding to each
application can coexists in a single java card. But there are security concerns
in java cards and also the performance issues. In this paper, we analyse the
suitability of using Java card for PayTV applications as part of conditional
access system in place of plain smart cards.",1306.5507v1,['cs.CR'],2013-06-24 04:01:52+00:00,[arxiv.Result.Author('Pallab Dutta')]
45,OCEAN: Open-source Collation of eGovernment data And Networks - Understanding Privacy Leaks in Open Government Data,"The awareness and sense of privacy has increased in the minds of people over
the past few years. Earlier, people were not very restrictive in sharing their
personal information, but now they are more cautious in sharing it with
strangers, either in person or online. With such privacy expectations and
attitude of people, it is difficult to embrace the fact that a lot of
information is publicly available on the web. Information portals in the form
of the e-governance websites run by Delhi Government in India provide access to
such PII without any anonymization. Several databases e.g., Voterrolls, Driving
Licence number, MTNL phone directory, PAN card serve as repositories of
personal information of Delhi residents. This large amount of available
personal information can be exploited due to the absence of proper written law
on privacy in India. PII can also be collected from various social networking
sites like Facebook, Twitter, GooglePlus etc. where the users share some
information about them. Since users themselves put this information, it may not
be considered as a privacy breach, but if the information is aggregated, it may
give out much more information resulting in a bigger threat. To bring such
issues to public notice, we developed Open-source Collation of eGovernment data
And Networks (OCEAN), a system where the user enters little information (e.g.
Name) about a person and gets large amount of personal information about him /
her like name, age, address, date of birth, mother's name, father's name, voter
ID, driving licence number, PAN.",1312.2784v1,['cs.CY'],2013-12-10 12:39:06+00:00,"[arxiv.Result.Author('Srishti Gupta'), arxiv.Result.Author('Ponnurangam Kumaraguru')]"
46,Optimal Guessing Strategies in a Quantum Card Game,"Three different quantum cards which are non-orthogonal quantum bits are sent
to two different players, Alice and Bob, randomly. Alice receives one of the
three cards, and Bob receives the remaining two cards. We find that Bob could
know better than Alice does on guessing Alice's card, no matter what Bob
chooses to measure his two cards collectively or separately. We also find that
Bob's best strategy for guessing Alice's card is to measure his two cards
collectively.",quant-ph/0206167v1,['quant-ph'],2002-06-24 08:12:48+00:00,"[arxiv.Result.Author('Chih-Lung Chou'), arxiv.Result.Author('Li-Yi Hsu')]"
47,No Feedback Card Guessing for Top to Random Shuffles,"Consider n cards that are labeled 1 through n with n an even integer. The
cards are put face down and their ordering starts with card labeled 1 on top
through card labeled n at the bottom. The cards are top to random shuffled m
times and placed face down on the table. Starting from the top the cards are
guessed without feedback (i.e. whether the guess was correct or false and what
the guessed card was) one at a time. For m > 4nlog n+cn we find a guessing
strategy that maximizes the expected number of correct guesses.",1006.1321v1,['math.PR'],2010-06-07 18:28:29+00:00,[arxiv.Result.Author('Lerna Pehlivan')]
48,A Random Card Shuffling Process,"Consider a randomly shuffled deck of $2n$ cards with $n$ red cards and $n$
black cards. We study the average number of moves it takes to go from a
randomly shuffled deck to a deck that alternates in color by performing the
following move: If the top card and the bottom card of the deck differ in color
place the top card at the bottom of the deck, otherwise, insert the top card
randomly in the deck. We use tools from combinatorics, probability, and linear
algebra to model this process as a finite Markov chain.",2206.04614v1,"['math.PR', 'math.CO']",2022-06-09 17:02:14+00:00,"[arxiv.Result.Author('Joel Brewster Lewis'), arxiv.Result.Author('Mehr Rai')]"
49,Password Protected Smart Card and Memory Stick Authentication Against Off-line Dictionary Attacks,"In this paper, we study the security requirements for remote authentication
with password protected smart card. In recent years, several protocols for
password-based authenticated key exchange have been proposed. These protocols
are used for the protection of password based authentication between a client
and a remote server. In this paper, we will focus on the password based
authentication between a smart card owner and smart card via an untrusted card
reader. In a typical scenario, a smart card owner inserts the smart card into
an untrusted card reader and input the password via the card reader in order
for the smart card to carry out the process of authentication with a remote
server. In this case, we want to guarantee that the card reader will not be
able to impersonate the card owner in future without the smart card itself.
Furthermore, the smart card could be stolen. If this happens, we want the
assurance that an adversary could not use the smart card to impersonate the
card owner even though the sample space of passwords may be small enough to be
enumerated by an off-line adversary. At the end of this paper, we further
extend our results to credential storage on portable non-tamper resistant
storage devices such as USB memory sticks.",1207.5497v1,['cs.CR'],2012-07-23 19:49:57+00:00,[arxiv.Result.Author('Yongge Wang')]
50,"Voter Verification of BMD Ballots Is a Two-Part Question: Can They? Mostly, They Can. Do They? Mostly, They Don't","The question of whether or not voters actually verify ballots produced by
ballot marking devices (BMDs) is presently the subject of some controversy.
Recent studies (e.g., Bernhard, et al. 2020) suggest the verification rate is
low. What is not clear from previous research is whether this is more a result
of voters being unable to do so accurately or whether this is because voters
simply choose not to attempt verification in the first place. In order to
understand this problem, we conducted an experiment in which 108 participants
participated in a mock election where the BMD displayed the voters' true
choices, but then changed a subset of those choices on the printed ballot. The
design of the printed ballot, the length of the ballot, the number of changes
that were made to the ballot, the location of those changes, and the
instructions provided to the voters were manipulated as part of the experiment.
Results indicated that of those voters who chose to examine the printed ballot,
76% detected anomalies, indicating that voters can reliably detect errors on
their ballot if they will simply review it. This suggests that administrative
remedies, rather than attempts to alter fundamental human perceptual
capabilities, could be employed to encourage voters to check their ballots,
which could prove as an effective countermeasure.",2003.04997v1,"['cs.HC', 'cs.CR', 'H.1.2; J.4']",2020-03-10 21:06:42+00:00,"[arxiv.Result.Author('Philip Kortum'), arxiv.Result.Author('Michael D. Byrne'), arxiv.Result.Author('Julie Whitmore')]"
51,Blind proxy voting,"A secret ballot mechanism that enables voting in absence is proposed. It
amends standard vote collection methods that use ballot box as anonymizer,
adding the option for absent voters to vote by a proxy blinded to the content
of the ballot paper. Votes are cast under unique and hidden identification
numbers generated solely for the purpose of that election. Voters prepare their
ballot papers from scratch and submit them to the tallying authority in two
parts via separate routes, each part being meaningless without the other.",1812.11128v1,['cs.CR'],2018-12-28 17:41:13+00:00,[arxiv.Result.Author('Zuzana Haniková')]
52,Can Voters Detect Errors on Their Printed Ballots? Absolutely,"There is still debate on whether voters can detect malicious changes in their
printed ballot after making their selections on a Ballot Marking Device (BMD).
In this study, we altered votes on a voter's ballot after they had made their
selections on a BMD. We then required them to examine their ballots for any
changes from the slate they used to vote. Overall accuracy was exceptionally
high. Participants saw 1440 total contests, and of those 1440, there were a
total of 4 errors, so total accuracy was 99.8%. Participants were able to
perform with near-perfect accuracy regardless of ballot length, ballot type,
number of altered races, and location of altered races. Detection performance
was extremely robust. We conclude that with proper direction and resources,
voters can be near-perfect detectors of ballot changes on printed paper ballots
after voting with a BMD. This finding has significant implications for the
voting community as BMD use continues to grow. Research should now focus on
identifying administrative and behavioral methods that will prompt and
encourage voters to check their BMD-generated ballots before they drop them in
the ballot box.",2204.09780v1,"['cs.HC', 'cs.CR', 'H.1.2; J.4']",2022-04-20 20:40:32+00:00,"[arxiv.Result.Author('Philip Kortum'), arxiv.Result.Author('Michael D. Byrne'), arxiv.Result.Author('Chidera O. Azubike'), arxiv.Result.Author('Laura E. Roty')]"
53,Exploiting re-voting in the Helios election system,"Election systems must ensure that representatives are chosen by voters.
Moreover, each voter should have equal influence. Traditionally, this has been
achieved by permitting voters to cast at most one ballot. More recently, this
has been achieved by tallying the last ballot cast by each voter. We show this
is not achieved by the Helios election system, because an adversary can cause a
ballot other than a voter's last to be tallied. Moreover, we show how the
adversary can choose the contents of such a ballot, thus the adversary can
unduly influence the selection of representatives.",1612.04099v3,['cs.CR'],2016-12-13 11:07:22+00:00,"[arxiv.Result.Author('Maxime Meyer'), arxiv.Result.Author('Ben Smyth')]"
54,Implement Liquid Democracy on Ethereum: A Fast Algorithm for Realtime Self-tally Voting System,"We study the liquid democracy problem, where each voter can either directly
vote to a candidate or delegate his voting power to a proxy. We consider the
implementation of liquid democracy on the blockchain through Ethereum smart
contract and to be compatible with the realtime self-tallying property, where
the contract itself can record ballots and update voting status upon receiving
each voting massage. A challenge comes due to the gas fee limitation of
Ethereum mainnet, that the number of instruction for processing a voting
massage can not exceed a certain amount, which restrict the application
scenario with respect to algorithms whose time complexity is linear to the
number of voters. We propose a fast algorithm to overcome the challenge, such
that i) shifts the on-chain initialization to off-chain and ii) the on-chain
complexity for processing each voting massage is O(\log n), where n is the
number of voters.",1911.08774v2,['cs.CR'],2019-11-20 09:00:24+00:00,"[arxiv.Result.Author('Xuepeng Fan'), arxiv.Result.Author('Peng Li'), arxiv.Result.Author('Yulong Zeng'), arxiv.Result.Author('Xiaoping Zhou')]"
55,On the security of ballot marking devices,"A recent debate among election experts has considered whether electronic
ballot marking devices (BMDs) have adequate security against the risks of
malware. A malicious BMD might produce a printed ballot that disagrees with a
voter's actual intent, with the hope that voters would be unlikely to detect
this subterfuge. This essay considers how an election administrator can create
reasonable auditing procedures to gain confidence that their fleet of BMDs is
operating correctly, allowing voters to benefit from the usability and
accessibility features of BMDs while the overall election still benefits from
the same security and reliability properties we expect from hand-marked paper
ballots.",1908.01897v2,['cs.CR'],2019-08-05 23:04:16+00:00,[arxiv.Result.Author('Dan S. Wallach')]
56,Ballot Length in Instant Runoff Voting,"Instant runoff voting (IRV) is an increasingly-popular alternative to
traditional plurality voting in which voters submit rankings over the
candidates rather than single votes. In practice, elections using IRV often
restrict the ballot length, the number of candidates a voter is allowed to rank
on their ballot. We theoretically and empirically analyze how ballot length can
influence the outcome of an election, given fixed voter preferences. We show
that there exist preference profiles over $k$ candidates such that up to $k-1$
different candidates win at different ballot lengths. We derive exact lower
bounds on the number of voters required for such profiles and provide a
construction matching the lower bound for unrestricted voter preferences.
Additionally, we characterize which sequences of winners are possible over
ballot lengths and provide explicit profile constructions achieving any
feasible winner sequence. We also examine how classic preference restrictions
influence our results--for instance, single-peakedness makes $k-1$ different
winners impossible but still allows at least $\Omega(\sqrt k)$. Finally, we
analyze a collection of 168 real-world elections, where we truncate rankings to
simulate shorter ballots. We find that shorter ballots could have changed the
outcome in one quarter of these elections. Our results highlight ballot length
as a consequential degree of freedom in the design of IRV elections.",2207.08958v3,"['cs.MA', 'econ.TH']",2022-07-18 22:01:13+00:00,"[arxiv.Result.Author('Kiran Tomlinson'), arxiv.Result.Author('Johan Ugander'), arxiv.Result.Author('Jon Kleinberg')]"
57,SOBA: Secrecy-preserving Observable Ballot-level Audit,"SOBA is an approach to election verification that provides observers with
justifiably high confidence that the reported results of an election are
consistent with an audit trail (""ballots""), which can be paper or electronic.
SOBA combines three ideas: (1) publishing cast vote records (CVRs) separately
for each contest, so that anyone can verify that each reported contest outcome
is correct, if the CVRs reflect voters' intentions with sufficient accuracy;
(2) shrouding a mapping between ballots and the CVRs for those ballots to
prevent the loss of privacy that could occur otherwise; (3) assessing the
accuracy with which the CVRs reflect voters' intentions for a collection of
contests while simultaneously assessing the integrity of the shrouded mapping
between ballots and CVRs by comparing randomly selected ballots to the CVRs
that purport to represent them. Step (1) is related to work by the Humboldt
County Election Transparency Project, but publishing CVRs separately for
individual contests rather than images of entire ballots preserves privacy.
Step (2) requires a cryptographic commitment from elections officials.
Observers participate in step (3), which relies on the ""super-simple
simultaneous single-ballot risk-limiting audit."" Step (3) is designed to reveal
relatively few ballots if the shrouded mapping is proper and the CVRs
accurately reflect voter intent. But if the reported outcomes of the contests
differ from the outcomes that a full hand count would show, step (3) is
guaranteed to have a large chance of requiring all the ballots to be counted by
hand, thereby limiting the risk that an incorrect outcome will become official
and final.",1105.5803v2,"['stat.AP', 'cs.CR', 'cs.CY']",2011-05-29 17:00:20+00:00,"[arxiv.Result.Author('Josh Benaloh'), arxiv.Result.Author('Douglas Jones'), arxiv.Result.Author('Eric Lazarus'), arxiv.Result.Author('Mark Lindeman'), arxiv.Result.Author('Philip B. Stark')]"
58,Quantum anonymous voting with anonymity check,"We propose a new protocol for quantum anonymous voting having serious
advantages over the existing protocols: it protects both the voters from a
curious tallyman and all the participants from a dishonest voter in
unconditional way. The central idea of the protocol is that the ballots are
given back to the voters after the voting process, which gives a possibility
for two voters to check the anonymity of the vote counting process by preparing
a special entangled state of two ballots. Any attempt of cheating from the side
of the tallyman results in destroying the entanglement, which can be detected
by the voters.",0911.5605v1,['quant-ph'],2009-11-30 10:39:14+00:00,"[arxiv.Result.Author('Dmitri Horoshko'), arxiv.Result.Author('Sergei Kilin')]"
